,*Warn,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2016_sf_gms-Found,Server2016_sf_gms-Penalties,Server2016_sf_gms-Remaining,Server2016_sf_gms-Score,Server2016_sf_gms-Time,Server2016_sf_gms-Warn,State,StatePlace,TeamName,TeamNumber,Tier,Ubuntu16_sf_sms-Found,Ubuntu16_sf_sms-Penalties,Ubuntu16_sf_sms-Remaining,Ubuntu16_sf_sms-Score,Ubuntu16_sf_sms-Time,Ubuntu16_sf_sms-Warn,Windows8_1_sf_sms-Found,Windows8_1_sf_sms-Penalties,Windows8_1_sf_sms-Remaining,Windows8_1_sf_sms-Score,Windows8_1_sf_sms-Time,Windows8_1_sf_sms-Warn
1,,273.0,Middle School,1.0,05:53,3,35,0,3,90, 5:53,,CA,1.0,,10-0041,Middle School,30,1,4,83, 5:26,,34,0,0,100, 2:54,
2,,261.0,Middle School,2.0,05:56,3,33,0,5,84, 5:55,,CA,2.0,,10-3793,Middle School,27,0,7,80, 5:55,,33,0,1,97, 5:52,
3,,253.0,Middle School,3.0,05:43,3,30,0,8,77, 5:38,,CA,3.0,,10-0043,Middle School,27,0,7,79, 5:43,,33,0,1,97, 5:28,
4,,248.0,Middle School,4.0,05:44,3,31,0,7,78, 5:42,,VA,1.0,,10-0301,Middle School,26,0,8,76, 5:41,,32,0,2,94, 5:44,
5,,246.0,Middle School,5.0,05:58,3,30,0,8,76, 5:58,,CA,4.0,,10-2829,Middle School,27,0,7,79, 5:57,,31,0,3,91, 5:56,
6,,246.0,Middle School,6.0,05:58,3,30,0,8,79, 5:58,,NV,1.0,,10-2083,Middle School,24,0,10,70, 5:57,,33,0,1,97, 5:57,
7,,241.0,Middle School,7.0,05:58,3,31,0,7,80, 5:58,,CA,5.0,,10-0042,Middle School,24,1,10,64, 5:55,,33,0,1,97, 5:56,
8,,231.0,Middle School,8.0,05:51,3,32,0,6,81, 5:50,,CA,6.0,,10-0047,Middle School,20,0,14,59, 5:17,,31,0,3,91, 5:51,
9,,231.0,Middle School,9.0,05:54,3,31,0,7,76, 5:53,,CA,7.0,,10-0046,Middle School,21,0,13,64, 5:54,,31,0,3,91, 5:54,
10,,228.0,Middle School,10.0,05:53,3,30,0,8,78, 5:49,,SC,1.0,,10-0333,Middle School,21,0,13,59, 5:52,,31,0,3,91, 5:53,
11,,228.0,Middle School,11.0,05:47,3,28,0,10,70, 5:41,,VA,2.0,,10-0303,Middle School,22,0,12,64, 5:45,,32,0,2,94, 5:46,
12,,227.0,Middle School,12.0,05:52,3,27,0,11,69, 5:52,,CA,8.0,,10-0582,Middle School,23,0,11,67, 5:49,,31,0,3,91, 5:49,
13,,227.0,Middle School,13.0,05:50,3,28,0,10,69, 5:49,,CA,9.0,,10-1236,Middle School,22,0,12,64, 5:47,,32,0,2,94, 5:45,
14,,226.0,Middle School,14.0,05:55,3,27,0,11,68, 5:37,,CA,10.0,,10-1305,Middle School,25,0,9,73, 5:51,,29,0,5,85, 5:39,
15,,226.0,Middle School,15.0,05:48,3,28,0,10,71, 5:47,,MD,1.0,,10-1721,Middle School,24,0,10,67, 5:41,,30,0,4,88, 5:45,
16,,221.0,Middle School,16.0,05:56,3,27,0,11,69, 5:53,,NJ,1.0,,10-1880,Middle School,24,0,10,70, 5:45,,28,0,6,82, 5:56,
17,,220.0,Middle School,17.0,05:56,3,27,0,11,68, 5:18,,CA,11.0,,10-0385,Middle School,24,0,10,70, 5:54,,28,0,6,82, 5:56,
18,,220.0,Middle School,18.0,05:54,3,27,0,11,65, 5:16,,CA,12.0,,10-0403,Middle School,21,0,13,58, 5:54,,33,0,1,97, 5:53,
19,,219.0,Middle School,19.0,05:57,3,26,0,12,64, 5:55,,CA,13.0,,10-1744,Middle School,22,0,12,61, 5:00,,32,0,2,94, 3:41,
20,,218.0,Middle School,20.0,05:54,3,25,0,13,65, 5:53,,TX,1.0,,10-3476,Middle School,21,0,13,62, 5:54,,31,0,3,91, 5:53,
21,,216.0,Middle School,21.0,05:55,3,26,0,12,66, 5:55,,MO,1.0,,10-0107,Middle School,21,0,13,62, 5:51,,30,0,4,88, 5:51,
22,,214.0,Middle School,22.0,05:57,3,32,0,6,85, 5:35,,CA,14.0,,10-4563,Middle School,19,0,15,53, 5:57,,26,0,8,76, 5:55,
23,,211.0,Middle School,23.0,05:50,3,22,0,16,58, 5:33,,CA,15.0,,10-1160,Middle School,21,0,13,62, 5:33,,31,0,3,91, 5:49,
24,,209.0,Middle School,24.0,05:59,3,23,0,15,57, 5:57,,MO,2.0,,10-0523,Middle School,23,0,11,67, 5:59,,29,0,5,85, 5:56,
25,,208.0,Middle School,25.0,05:51,3,27,0,11,67, 5:49,,CA,16.0,,10-1019,Middle School,20,0,14,59, 5:49,,28,0,6,82, 5:50,
26,,208.0,Middle School,26.0,05:59,3,27,0,11,70, 5:49,,CA,17.0,,10-4567,Middle School,21,0,13,59, 5:59,,27,0,7,79, 5:58,
27,,208.0,Middle School,27.0,05:55,3,24,0,14,56, 5:42,,CA,18.0,,10-2138,Middle School,20,0,14,61, 5:52,,31,0,3,91, 5:44,
28,,207.0,Middle School,28.0,04:02,3,28,0,10,69, 3:55,,GA,1.0,,10-0543,Middle School,17,0,17,50, 3:54,,30,0,4,88, 4:02,
29,,207.0,Middle School,29.0,05:26,3,23,0,15,58, 5:24,,CA,19.0,,10-3902,Middle School,24,0,10,70, 5:26,,27,0,7,79, 4:30,
30,,207.0,Middle School,30.0,05:40,3,27,0,11,66, 5:40,,OH,1.0,,10-0143,Middle School,19,0,15,53, 5:35,,30,0,4,88, 5:40,
31,,206.0,Middle School,31.0,05:47,3,24,0,14,63, 5:47,,CO,1.0,,10-0989,Middle School,23,0,11,64, 5:25,,27,0,7,79, 5:42,
32,,206.0,Middle School,32.0,05:55,3,27,0,11,65, 5:56,,CA,20.0,,10-2831,Middle School,20,0,14,55, 5:55,,30,0,4,89, 5:56,
33,,206.0,Middle School,33.0,05:58,3,25,0,13,65, 5:25,,VA,3.0,,10-4292,Middle School,21,0,13,62, 5:56,,27,0,7,79, 5:54,
34,,205.0,Middle School,34.0,05:53,3,24,0,14,62, 5:50,,DE,1.0,,10-3782,Middle School,21,0,13,61, 5:53,,28,0,6,82, 5:50,
35,,202.0,Middle School,35.0,05:54,3,24,0,14,59, 5:23,,AL,1.0,,10-0529,Middle School,21,0,13,61, 5:53,,28,0,6,82, 5:50,
36,,201.0,Middle School,36.0,05:53,3,26,0,12,64, 5:49,,CA,21.0,,10-0641,Middle School,19,0,15,55, 5:36,,28,0,6,82, 5:46,
37,,200.0,Middle School,37.0,05:58,3,23,0,15,54, 5:48,,VA,4.0,,10-4547,Middle School,23,0,11,67, 5:56,,27,0,7,79, 5:55,
38,,200.0,Middle School,38.0,05:45,3,25,0,13,62, 5:42,,CO,2.0,,10-0988,Middle School,20,0,14,59, 5:41,,27,0,7,79, 5:41,
39,,198.0,Middle School,39.0,05:42,3,23,0,15,58, 5:40,,CAN,1.0,,10-0750,Middle School,21,0,13,61, 5:40,,27,0,7,79, 5:40,
40,,198.0,Middle School,40.0,06:00,3,24,0,14,59, 5:48,,TN,1.0,,10-5283,Middle School,20,0,14,54, 6:00,,29,0,5,85, 5:59,
41,,197.0,Middle School,41.0,05:48,3,26,0,12,65, 5:45,,CA,22.0,,10-2979,Middle School,19,0,15,46, 5:47,,29,0,5,86, 5:45,
42,,197.0,Middle School,42.0,05:39,3,23,0,15,60, 5:39,,CA,23.0,,10-0384,Middle School,20,0,14,58, 5:28,,27,0,7,79, 5:39,
43,,197.0,Middle School,43.0,05:57,3,23,0,15,56, 5:54,,MO,3.0,,10-0490,Middle School,20,0,14,58, 5:54,,28,0,6,83, 5:55,
