,Time,Server2016_sf_gms,Ubuntu16_sf_sms,Windows8_1_sf_sms,Team
0,1900-02-11 19:10:00,5,0,0,10-0041
1,1900-02-11 19:15:00,10,18,10,10-0041
2,1900-02-11 19:20:00,10,15,10,10-0041
3,1900-02-11 19:25:00,14,31,10,10-0041
4,1900-02-11 19:30:00,20,36,17,10-0041
5,1900-02-11 19:35:00,20,45,20,10-0041
6,1900-02-11 19:40:00,20,74,32,10-0041
7,1900-02-11 19:45:00,24,66,34,10-0041
8,1900-02-11 19:50:00,28,71,40,10-0041
9,1900-02-11 19:55:00,30,71,42,10-0041
10,1900-02-11 20:00:00,33,74,52,10-0041
11,1900-02-11 20:05:00,33,77,52,10-0041
12,1900-02-11 20:10:00,null,69,61,10-0041
13,1900-02-11 20:15:00,36,18,64,10-0041
14,1900-02-11 20:20:00,39,68,67,10-0041
15,1900-02-11 20:25:00,42,71,67,10-0041
16,1900-02-11 20:30:00,45,77,70,10-0041
17,1900-02-11 20:35:00,50,77,65,10-0041
18,1900-02-11 20:40:00,50,77,73,10-0041
19,1900-02-11 20:45:00,55,77,73,10-0041
20,1900-02-11 20:50:00,77,80,73,10-0041
21,1900-02-11 20:55:00,77,null,71,10-0041
22,1900-02-11 21:00:00,77,0,73,10-0041
23,1900-02-11 21:05:00,77,32,94,10-0041
24,1900-02-11 21:10:00,77,74,97,10-0041
25,1900-02-11 21:15:00,null,80,97,10-0041
26,1900-02-11 21:20:00,80,80,97,10-0041
27,1900-02-11 21:25:00,80,80,97,10-0041
28,1900-02-11 21:30:00,80,80,97,10-0041
29,1900-02-11 21:35:00,80,80,97,10-0041
30,1900-02-11 21:40:00,80,82,97,10-0041
31,1900-02-11 21:45:00,80,82,97,10-0041
32,1900-02-11 21:50:00,80,86,97,10-0041
33,1900-02-11 21:55:00,80,83,95,10-0041
34,1900-02-11 22:00:00,80,83,98,10-0041
35,1900-02-11 22:05:00,80,84,100,10-0041
36,1900-02-11 22:10:00,80,86,null,10-0041
37,1900-02-11 22:15:00,80,0,null,10-0041
38,1900-02-11 22:20:00,80,2,null,10-0041
39,1900-02-11 22:25:00,80,1,null,10-0041
40,1900-02-11 22:30:00,80,65,null,10-0041
41,1900-02-11 22:35:00,80,83,null,10-0041
42,1900-02-11 22:40:00,83,88,null,10-0041
43,1900-02-11 22:45:00,83,88,null,10-0041
44,1900-02-11 22:50:00,87,88,null,10-0041
45,1900-02-11 22:55:00,87,88,null,10-0041
46,1900-02-11 23:00:00,87,83,null,10-0041
47,1900-02-11 23:05:00,87,null,null,10-0041
48,1900-02-11 23:10:00,87,18,null,10-0041
49,1900-02-11 23:15:00,87,35,null,10-0041
50,1900-02-11 23:20:00,87,58,null,10-0041
51,1900-02-11 23:25:00,87,55,null,10-0041
52,1900-02-11 23:30:00,87,57,null,10-0041
53,1900-02-11 23:35:00,87,83,null,10-0041
54,1900-02-11 23:40:00,87,88,null,10-0041
55,1900-02-11 23:45:00,87,91,null,10-0041
56,1900-02-11 23:50:00,87,91,null,10-0041
57,1900-02-11 23:55:00,87,91,null,10-0041
58,1900-02-12 00:00:00,87,91,null,10-0041
59,1900-02-12 00:05:00,87,91,null,10-0041
60,1900-02-12 00:10:00,87,91,null,10-0041
61,1900-02-12 00:15:00,87,91,null,10-0041
62,1900-02-12 00:20:00,87,91,null,10-0041
63,1900-02-12 00:25:00,87,91,null,10-0041
64,1900-02-12 00:30:00,87,83,null,10-0041
65,1900-02-12 00:35:00,87,83,null,10-0041
66,1900-02-12 00:40:00,87,null,null,10-0041
67,1900-02-12 00:45:00,87,null,null,10-0041
68,1900-02-12 00:50:00,90,null,null,10-0041
69,1900-02-12 00:55:00,90,null,null,10-0041
70,1900-02-12 01:00:00,90,null,null,10-0041
71,1900-02-12 01:05:00,90,null,null,10-0041
0,1900-02-11 18:25:00,0,0,0,10-3793
1,1900-02-11 18:30:00,0,0,5,10-3793
2,1900-02-11 18:35:00,0,6,10,10-3793
3,1900-02-11 18:40:00,5,8,16,10-3793
4,1900-02-11 18:45:00,10,11,22,10-3793
5,1900-02-11 18:50:00,10,11,24,10-3793
6,1900-02-11 18:55:00,10,17,26,10-3793
7,1900-02-11 19:00:00,10,23,31,10-3793
8,1900-02-11 19:05:00,10,28,46,10-3793
9,1900-02-11 19:10:00,10,28,46,10-3793
10,1900-02-11 19:15:00,10,41,49,10-3793
11,1900-02-11 19:20:00,10,41,52,10-3793
12,1900-02-11 19:25:00,10,41,52,10-3793
13,1900-02-11 19:30:00,13,41,52,10-3793
14,1900-02-11 19:35:00,22,41,57,10-3793
15,1900-02-11 19:40:00,27,41,57,10-3793
16,1900-02-11 19:45:00,31,41,60,10-3793
17,1900-02-11 19:50:00,35,41,62,10-3793
18,1900-02-11 19:55:00,35,41,71,10-3793
19,1900-02-11 20:00:00,41,44,76,10-3793
20,1900-02-11 20:05:00,48,47,79,10-3793
21,1900-02-11 20:10:00,48,47,79,10-3793
22,1900-02-11 20:15:00,48,47,79,10-3793
23,1900-02-11 20:20:00,51,47,79,10-3793
24,1900-02-11 20:25:00,51,47,82,10-3793
25,1900-02-11 20:30:00,54,47,85,10-3793
26,1900-02-11 20:35:00,60,50,85,10-3793
27,1900-02-11 20:40:00,60,62,85,10-3793
28,1900-02-11 20:45:00,60,62,85,10-3793
29,1900-02-11 20:50:00,65,62,85,10-3793
30,1900-02-11 20:55:00,60,62,85,10-3793
31,1900-02-11 21:00:00,67,12,85,10-3793
32,1900-02-11 21:05:00,71,32,85,10-3793
33,1900-02-11 21:10:00,73,47,85,10-3793
34,1900-02-11 21:15:00,73,50,85,10-3793
35,1900-02-11 21:20:00,76,53,85,10-3793
36,1900-02-11 21:25:00,76,53,85,10-3793
37,1900-02-11 21:30:00,76,53,85,10-3793
38,1900-02-11 21:35:00,76,null,85,10-3793
39,1900-02-11 21:40:00,76,null,85,10-3793
40,1900-02-11 21:45:00,76,null,85,10-3793
