,,*Warn,Adjust,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2016_cpxi_state_gsms-Found,Server2016_cpxi_state_gsms-Penalties,Server2016_cpxi_state_gsms-Remaining,Server2016_cpxi_state_gsms-Score,Server2016_cpxi_state_gsms-Time,Server2016_cpxi_state_gsms-Warn,State,StatePlace,TeamName,TeamNumber,Tier,TotalScore,Ubuntu16_cpxi_state_sms-Found,Ubuntu16_cpxi_state_sms-Penalties,Ubuntu16_cpxi_state_sms-Remaining,Ubuntu16_cpxi_state_sms-Score,Ubuntu16_cpxi_state_sms-Time,Ubuntu16_cpxi_state_sms-Warn,Windows10_cpxi_state_pgsms-Found,Windows10_cpxi_state_pgsms-Penalties,Windows10_cpxi_state_pgsms-Remaining,Windows10_cpxi_state_pgsms-Score,Windows10_cpxi_state_pgsms-Time,Windows10_cpxi_state_pgsms-Warn
1,1,,0.00,293.0,Middle School,1.0,05:56,3,30,0,0,100, 5:47,,CA,1.0,,11-1680,Middle School,293.00,25,0,1,96, 5:46,,35,0,1,97, 5:56,
2,2,,0.00,286.0,Middle School,2.0,05:55,3,28,0,2,93, 5:55,,CA,2.0,,11-0082,Middle School,286.00,25,0,1,96, 5:54,,35,0,1,97, 5:08,
3,3,,0.00,266.0,Middle School,3.0,05:52,3,27,0,3,90, 5:43,,CA,3.0,,11-0083,Middle School,266.00,23,0,3,88, 5:52,,32,0,4,88, 5:52,
4,4,,0.00,262.0,Middle School,4.0,05:55,3,27,0,3,89, 5:51,,CA,4.0,,11-0087,Middle School,262.00,23,0,3,88, 5:54,,31,0,5,85, 5:51,
5,5,,0.00,260.0,Middle School,5.0,05:40,3,25,0,5,83, 5:40,,CA,5.0,,11-0088,Middle School,260.00,24,0,2,92, 5:38,,31,0,5,85, 5:36,
6,6,,0.00,242.0,Middle School,6.0,05:54,3,27,0,3,89, 5:54,,CA,6.0,,11-0089,Middle School,242.00,18,0,8,71, 5:50,,30,0,6,82, 5:54,
7,7,,0.00,238.0,Middle School,7.0,05:59,3,20,0,10,67, 5:58,,CA,7.0,,11-0980,Middle School,238.00,23,0,3,88, 5:01,,30,0,6,83, 5:53,
8,8,,0.00,238.0,Middle School,8.0,05:56,3,23,0,7,75, 5:56,,NV,1.0,,11-2228,Middle School,238.00,22,0,4,84, 5:55,,28,0,8,79, 5:56,
9,9,,0.00,237.0,Middle School,9.0,05:59,3,23,0,7,75, 5:59,,CA,8.0,,11-4948,Middle School,237.00,21,0,5,80, 5:55,,30,0,6,82, 5:53,
10,10,,0.00,236.0,Middle School,10.0,05:59,3,22,0,8,73, 5:55,,CA,9.0,,11-4521,Middle School,236.00,23,0,3,88, 5:59,,27,0,9,75, 5:57,
11,11,,0.00,230.0,Middle School,11.0,05:44,3,25,0,5,83, 5:31,,NM,1.0,,11-3447,Middle School,230.00,17,0,9,67, 5:36,,29,0,7,80, 5:44,
12,12,,0.00,227.0,Middle School,12.0,05:56,3,22,0,8,72, 5:55,,GA,1.0,GBMS,11-2598,Middle School,227.00,23,0,3,88, 5:42,,24,0,12,67, 5:56,
13,13,,0.00,219.0,Middle School,13.0,05:58,3,22,0,8,73, 5:56,,CA,10.0,,11-1748,Middle School,219.00,20,0,6,76, 5:53,,26,0,10,70, 5:58,
14,14,,0.00,218.0,Middle School,14.0,05:57,3,22,0,8,73, 5:52,,VA,1.0,,11-1741,Middle School,218.00,22,0,4,85, 5:45,,22,0,14,60, 5:51,
15,15,,0.00,216.0,Middle School,15.0,05:57,3,20,0,10,66, 5:48,,TX,1.0,,11-0129,Middle School,216.00,19,0,7,74, 5:50,,27,0,9,76, 5:57,
16,16,,0.00,215.0,Middle School,16.0,05:55,3,18,0,12,59, 5:51,,MD,1.0,,11-5332,Middle School,215.00,24,0,2,94, 5:43,,22,0,14,62, 5:50,
17,17,,0.00,212.0,Middle School,17.0,05:58,3,22,0,8,72, 5:56,,CA,11.0,,11-6124,Middle School,212.00,19,0,7,72, 5:57,,24,0,12,68, 5:55,
18,18,,0.00,211.0,Middle School,18.0,05:47,3,22,0,8,73, 5:45,,GA,2.0,GBMS,11-2518,Middle School,211.00,20,0,6,76, 5:34,,23,0,13,62, 5:07,
19,19,,0.00,207.0,Middle School,19.0,05:12,3,20,0,10,67, 5:09,,CA,12.0,,11-4155,Middle School,207.00,19,0,7,73, 4:55,,24,0,12,67, 5:02,
20,20,T,-3.00,209.0,Middle School,20.0,06:02,3,21,0,9,70, 6:02,T,CA,13.0,,11-0092,Middle School,206.00,17,0,9,65, 5:40,,27,0,9,74, 5:54,
21,21,,0.00,206.0,Middle School,21.0,05:51,3,22,0,8,73, 5:06,,TX,2.0,,11-0857,Middle School,206.00,18,0,8,70, 4:54,,23,0,13,63, 5:50,
22,22,,0.00,206.0,Middle School,22.0,05:57,3,22,0,8,72, 5:54,,VA,2.0,,11-0073,Middle School,206.00,19,0,7,72, 5:50,,23,0,13,62, 5:57,
23,23,,0.00,205.0,Middle School,23.0,05:57,3,21,0,9,69, 5:57,,CA,14.0,,11-0343,Middle School,205.00,18,0,8,75, 5:31,,22,0,14,61, 5:08,
24,24,,0.00,203.0,Middle School,24.0,05:27,3,19,0,11,64, 5:26,,CA,15.0,,11-2186,Middle School,203.00,23,0,3,88, 5:25,,19,0,17,51, 5:24,
25,25,,0.00,203.0,Middle School,25.0,05:42,3,16,0,14,53, 5:23,,CA,16.0,,11-1043,Middle School,203.00,23,0,3,88, 5:42,,23,0,13,62, 5:40,
26,26,,0.00,201.0,Middle School,26.0,05:54,3,20,0,10,67, 5:52,,CA,17.0,,11-4519,Middle School,201.00,18,0,8,68, 5:52,,24,0,12,66, 5:54,
27,27,,0.00,201.0,Middle School,27.0,05:52,3,20,0,10,65, 5:46,,WY,1.0,,11-1123,Middle School,201.00,19,0,7,71, 4:37,,23,0,13,65, 5:52,
28,28,,-6.00,206.0,Middle School,28.0,05:53,3,21,0,9,69, 5:16,,KS,1.0,,11-4199,Middle School,200.00,20,0,6,77, 5:24,,22,0,14,60, 5:47,
29,29,,0.00,198.0,Middle School,29.0,05:49,3,21,0,9,69, 5:49,,AZ,1.0,,11-1339,Middle School,198.00,16,0,10,62, 5:48,,25,0,11,67, 5:49,
30,30,,0.00,197.0,Middle School,30.0,05:35,3,20,0,10,66, 5:26,,GA,3.0,Tax Collectors V2,11-3500,Middle School,197.00,19,0,7,73, 5:35,,21,0,15,58, 5:20,
31,31,,0.00,195.0,Middle School,31.0,05:20,3,19,0,11,63, 4:43,,OH,1.0,,11-1858,Middle School,195.00,18,0,8,73, 4:43,,22,0,14,59, 5:20,
32,32,,0.00,194.0,Middle School,32.0,05:48,3,18,0,12,59, 5:31,,NJ,1.0,,11-3533,Middle School,194.00,19,0,7,76, 5:43,,21,0,15,59, 5:36,
33,33,,0.00,194.0,Middle School,33.0,05:56,3,16,0,14,53, 5:55,,VA,3.0,,11-0071,Middle School,194.00,22,0,4,84, 5:55,,21,0,15,57, 5:56,
34,34,,0.00,193.0,Middle School,34.0,05:42,3,17,0,13,61, 5:41,,CA,18.0,,11-2977,Middle School,193.00,19,0,7,72, 5:40,,22,0,14,60, 5:38,
35,35,,0.00,193.0,Middle School,35.0,05:47,3,20,0,10,66, 5:47,,TX,3.0,,11-0859,Middle School,193.00,11,0,15,45, 5:30,,29,0,7,82, 5:43,
36,36,,0.00,192.0,Middle School,36.0,05:58,3,17,0,13,55, 5:58,,VA,4.0,,11-3493,Middle School,192.00,20,0,6,77, 5:55,,22,0,14,60, 5:56,
37,37,,0.00,191.0,Middle School,37.0,05:57,3,18,0,12,59, 5:57,,AL,1.0,,11-1415,Middle School,191.00,19,0,7,73, 5:54,,22,0,14,59, 5:57,
38,38,T,-9.00,200.0,Middle School,38.0,06:06,3,20,0,10,66, 5:08,,CO,1.0,,11-0674,Middle School,191.00,20,0,6,77, 5:25,,21,0,15,57, 6:06,T
39,39,,0.00,189.0,Middle School,39.0,05:24,3,17,0,13,56, 5:11,,RI,1.0,,11-4987,Middle School,189.00,17,0,9,67, 5:14,,24,0,12,66, 5:24,
