Line,*Warn,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2008_state_gsms-Found,Server2008_state_gsms-Penalties,Server2008_state_gsms-Remaining,Server2008_state_gsms-Total,Server2008_state_gsms-Score,Server2008_state_gsms-Time,Server2008_state_gsms-Warn,State,StatePlace,TeamName,TeamNumber,Tier,Ubuntu14_state_sms-Found,Ubuntu14_state_sms-Penalties,Ubuntu14_state_sms-Remaining,Ubuntu14_state_sms-Total,Ubuntu14_state_sms-Score,Ubuntu14_state_sms-Time,Ubuntu14_state_sms-Warn,Windows10_state_sms-Found,Windows10_state_sms-Penalties,Windows10_state_sms-Remaining,Ubuntu14_state_sms-Total,Windows10_state_sms-Score,Windows10_state_sms-Time,Windows10_state_sms-Warn
1,,266,Middle School,1,05:41,3,32,0,6,38,85, 5:41,,VA,1,,10-0301,Middle School,33,0,1,34,97, 5:38,,31,0,7,38,84, 5:39,
2,,253,Middle School,2,05:58,3,31,0,7,38,81, 5:54,,CA,1,,10-1236,Middle School,28,0,6,34,82, 5:58,,34,0,4,38,90, 5:54,
3,,250,Middle School,3,05:52,3,29,0,9,38,76, 5:51,,CA,2,,10-1160,Middle School,29,0,5,34,84, 5:46,,34,0,4,38,90, 5:51,
4,,247,Middle School,4,05:54,3,30,0,8,38,79, 5:49,,MO,1,,10-0523,Middle School,28,0,6,34,86, 5:51,,32,0,6,38,82, 5:54,
5,,246,Middle School,5,05:52,3,28,0,10,38,75, 5:52,,CA,3,,10-1305,Middle School,30,0,4,34,88, 5:52,,31,0,7,38,83, 5:03,
6,,246,Middle School,6,05:43,3,29,0,9,38,78, 5:40,,CA,4,,10-3902,Middle School,30,0,4,34,87, 5:43,,31,0,7,38,81, 5:43,
7,,245,Middle School,7,05:57,3,32,0,6,38,85, 5:55,,CA,5,,10-1744,Middle School,26,0,8,34,75, 5:57,,32,0,6,38,85, 5:56,
8,,243,Middle School,8,05:48,3,31,0,7,38,82, 5:24,,WA,1,,10-5704,Middle School,23,0,11,34,69, 5:40,,34,0,4,38,92, 5:42,
9,,243,Middle School,9,05:58,3,29,0,9,38,77, 5:58,,CA,6,,10-0582,Middle School,27,0,7,34,77, 5:57,,33,0,5,38,89, 5:56,
10,,239,Middle School,10,05:56,3,26,0,12,38,71, 5:55,,CA,7,,10-0385,Middle School,28,0,6,34,82, 5:55,,33,0,5,38,86, 5:54,
11,,236,Middle School,11,05:51,3,28,0,10,38,76, 5:43,,CA,8,,10-1019,Middle School,26,0,8,34,76, 5:47,,31,0,7,38,84, 5:47,
12,,231,Middle School,12,05:45,3,29,0,9,38,77, 5:43,,VA,2,,10-0303,Middle School,23,0,11,34,67, 5:43,,33,0,5,38,87, 5:41,
13,,229,Middle School,13,05:55,3,29,0,9,38,78, 5:55,,CA,9,,10-4567,Middle School,25,0,9,34,76, 5:47,,28,0,10,38,75, 5:53,
14,,227,Middle School,14,05:48,3,25,0,13,38,71, 5:47,,VA,3,,10-3981,Middle School,26,0,8,34,77, 5:44,,30,0,8,38,79, 5:48,
15,,225,Middle School,15,05:46,3,25,0,13,38,69, 5:42,,CO,1,,10-0988,Middle School,27,0,7,34,79, 5:45,,29,0,9,38,77, 5:44,
16,,224,Middle School,16,05:57,3,25,0,13,38,70, 5:56,,CA,10,,10-0641,Middle School,26,0,8,34,78, 5:56,,29,0,9,38,76, 5:56,
17,,224,Middle School,17,05:56,3,26,0,12,38,68, 5:53,,CA,11,,10-2138,Middle School,26,0,8,34,76, 5:53,,30,0,8,38,80, 5:51,
18,,223,Middle School,18,05:57,3,27,0,11,38,72, 5:57,,VA,4,,10-4292,Middle School,25,0,9,34,73, 5:53,,29,0,9,38,78, 5:57,
19,,222,Middle School,19,06:00,3,26,0,12,38,68, 6:00,,CA,12,,10-2829,Middle School,24,0,10,34,69, 5:59,,32,0,6,38,85, 5:59,
20,,221,Middle School,20,05:53,3,31,0,7,38,84, 5:50,,TX,1,,10-3476,Middle School,23,0,11,34,68, 5:51,,26,0,12,38,69, 5:52,
21,,221,Middle School,21,05:54,3,26,0,12,38,72, 5:53,,CA,13,,10-4563,Middle School,20,0,14,34,60, 5:53,,33,0,5,38,89, 5:54,
22,,220,Middle School,22,05:39,3,28,0,10,38,76, 5:21,,CO,2,,10-0989,Middle School,27,0,7,34,79, 5:38,,25,0,13,38,65, 5:16,
23,,220,Middle School,23,05:57,3,23,0,15,38,65, 5:54,,MO,2,,10-0107,Middle School,27,0,7,34,81, 5:49,,26,0,12,38,74, 5:57,
24,,220,Middle School,24,05:53,3,25,0,13,38,71, 5:51,,CAN,1,,10-0750,Middle School,24,0,10,34,68, 5:50,,31,0,7,38,81, 5:53,
25,,217,Middle School,25,05:46,3,23,0,15,38,63, 5:45,,CA,14,,10-1176,Middle School,25,0,9,34,73, 5:40,,30,0,8,38,81, 5:42,
26,,217,Middle School,26,05:44,3,21,0,17,38,56, 5:33,,DE,1,,10-3782,Middle School,29,0,5,34,86, 5:36,,28,0,10,38,75, 5:44,
27,,216,Middle School,27,05:58,3,29,0,9,38,77, 5:57,,CA,15,,10-2979,Middle School,19,0,15,34,53, 5:58,,33,0,5,38,86, 5:56,
28,,213,Middle School,28,05:51,3,25,0,13,38,68, 5:49,,VA,5,,10-0172,Middle School,24,0,10,34,70, 5:50,,28,0,10,38,75, 5:48,
29,,211,Middle School,29,05:55,3,28,0,10,38,75, 5:46,,MO,3,,10-1537,Middle School,20,0,14,34,60, 5:55,,29,0,9,38,76, 5:43,
30,,211,Middle School,30,05:59,3,22,0,16,38,61, 5:56,,VA,6,,10-4547,Middle School,27,0,7,34,78, 5:53,,28,0,10,38,72, 5:56,
