,,*Warn,Adjust,CiscoScore,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2016_cpxi_r1_ms-Found,Server2016_cpxi_r1_ms-Penalties,Server2016_cpxi_r1_ms-Remaining,Server2016_cpxi_r1_ms-Score,Server2016_cpxi_r1_ms-Time,Server2016_cpxi_r1_ms-Warn,State,StatePlace,TeamName,TeamNumber,Tier,TotalScore,Windows10_cpxi_r1_hsms-Found,Windows10_cpxi_r1_hsms-Penalties,Windows10_cpxi_r1_hsms-Remaining,Windows10_cpxi_r1_hsms-Score,Windows10_cpxi_r1_hsms-Time,Windows10_cpxi_r1_hsms-Warn
1,1,,0.00,0.00,200.0,Middle School,1.0,01:10,2,22,0,0,100, 1:09,,CA,1.0,,11-0088,Middle School,200.00,22,0,0,100, 1:10,
2,2,,0.00,0.00,200.0,Middle School,2.0,01:58,2,22,0,0,100, 1:58,,CA,2.0,,11-1680,Middle School,200.00,22,0,0,100, 1:55,
3,3,,0.00,0.00,200.0,Middle School,3.0,02:05,2,22,0,0,100, 2:04,,CA,3.0,,11-0083,Middle School,200.00,22,0,0,100, 0:58,
4,4,,0.00,0.00,200.0,Middle School,4.0,02:53,2,22,0,0,100, 2:12,,VA,1.0,,11-0398,Middle School,200.00,22,0,0,100, 2:53,
5,5,,0.00,0.00,200.0,Middle School,5.0,02:57,2,22,0,0,100, 1:50,,CA,4.0,,11-0087,Middle School,200.00,22,0,0,100, 2:57,
6,6,,0.00,0.00,200.0,Middle School,6.0,03:58,2,22,0,0,100, 2:43,,IL,1.0,,11-0005,Middle School,200.00,22,0,0,100, 3:58,
7,7,,0.00,0.00,200.0,Middle School,7.0,04:06,2,22,0,0,100, 3:40,,DE,1.0,,11-5748,Middle School,200.00,22,0,0,100, 4:06,
8,8,,0.00,0.00,200.0,Middle School,8.0,04:46,2,22,0,0,100, 3:44,,CA,5.0,,11-2293,Middle School,200.00,22,0,0,100, 4:46,
9,9,,0.00,0.00,200.0,Middle School,9.0,04:27,2,22,0,0,100, 3:14,,FL,1.0,,11-0597,Middle School,200.00,22,0,0,100, 4:27,
10,10,,0.00,0.00,200.0,Middle School,10.0,04:57,2,22,0,0,100, 4:56,,CA,6.0,,11-4948,Middle School,200.00,22,0,0,100, 0:51,
11,11,T,0.00,0.00,200.0,Middle School,11.0,26:37,2,22,0,0,100, 3:39,,DE,2.0,,11-5725,Middle School,200.00,22,0,0,100,26:37,T
12,12,,0.00,0.00,200.0,Middle School,12.0,05:15,2,22,0,0,100, 5:15,,VA,2.0,,11-0071,Middle School,200.00,22,0,0,100, 2:43,
13,13,,0.00,0.00,200.0,Middle School,13.0,05:16,2,22,0,0,100, 3:04,,CA,7.0,,11-0082,Middle School,200.00,22,0,0,100, 5:16,
14,14,,0.00,0.00,200.0,Middle School,14.0,05:29,2,22,0,0,100, 4:30,,TX,1.0,,11-0129,Middle School,200.00,22,0,0,100, 5:29,
15,15,,0.00,0.00,200.0,Middle School,15.0,05:28,2,22,0,0,100, 5:13,,TX,2.0,,11-0859,Middle School,200.00,22,0,0,100, 5:28,
16,16,,0.00,0.00,200.0,Middle School,16.0,05:34,2,22,0,0,100, 5:34,,MO,1.0,,11-1178,Middle School,200.00,22,0,0,100, 5:33,
17,17,,0.00,0.00,200.0,Middle School,17.0,05:31,2,22,0,0,100, 5:29,,CA,8.0,,11-4374,Middle School,200.00,22,0,0,100, 4:12,
18,18,,0.00,0.00,200.0,Middle School,18.0,05:40,2,22,0,0,100, 5:40,,VA,3.0,,11-0073,Middle School,200.00,22,0,0,100, 4:28,
19,19,T,0.00,0.00,200.0,Middle School,19.0,07:26,2,22,0,0,100, 5:31,,CA,9.0,,11-4521,Middle School,200.00,22,0,0,100, 7:26,T
20,20,,0.00,0.00,200.0,Middle School,20.0,05:45,2,22,0,0,100, 3:57,,CA,10.0,,11-0089,Middle School,200.00,22,0,0,100, 5:45,
21,21,,0.00,0.00,200.0,Middle School,21.0,05:52,2,22,0,0,100, 5:51,,NV,1.0,,11-2228,Middle School,200.00,22,0,0,100, 5:14,
22,22,,0.00,0.00,200.0,Middle School,22.0,05:56,2,22,0,0,100, 5:56,,SC,1.0,,11-1847,Middle School,200.00,22,0,0,100, 5:09,
23,23,,0.00,0.00,197.0,Middle School,23.0,05:10,2,22,0,0,100, 3:33,,GA,1.0,,11-2598,Middle School,197.00,21,0,1,97, 5:10,
24,24,,0.00,0.00,197.0,Middle School,24.0,05:26,2,21,0,1,97, 5:26,,GA,2.0,,11-2518,Middle School,197.00,22,0,0,100, 5:12,
25,25,,0.00,0.00,197.0,Middle School,25.0,05:59,2,22,0,0,100, 5:41,,CA,11.0,,11-0045,Middle School,197.00,21,0,1,97, 5:59,
26,26,,0.00,0.00,196.0,Middle School,26.0,04:54,2,22,0,0,100, 2:00,,KS,1.0,,11-5869,Middle School,196.00,21,0,1,96, 4:54,
27,27,,0.00,0.00,196.0,Middle School,27.0,05:32,2,21,0,1,96, 5:31,,TX,3.0,,11-3360,Middle School,196.00,22,0,0,100, 1:22,
28,28,,0.00,0.00,196.0,Middle School,28.0,05:40,2,22,0,0,100, 4:12,,CA,12.0,,11-4156,Middle School,196.00,21,0,1,96, 5:40,
29,29,,0.00,0.00,196.0,Middle School,29.0,05:49,2,22,0,0,100, 4:19,,CA,13.0,,11-1748,Middle School,196.00,21,0,1,96, 5:49,
30,30,,0.00,0.00,196.0,Middle School,30.0,05:53,2,22,0,0,100, 4:25,,CA,14.0,,11-2668,Middle School,196.00,21,0,1,96, 5:53,
31,31,,0.00,0.00,196.0,Middle School,31.0,05:39,2,22,0,0,100, 5:39,,CO,1.0,,11-1258,Middle School,196.00,21,0,1,96, 5:38,
32,32,,0.00,0.00,196.0,Middle School,32.0,05:54,2,22,0,0,100, 5:05,,AZ,1.0,,11-2736,Middle School,196.00,21,0,1,96, 5:54,
33,33,,0.00,0.00,196.0,Middle School,33.0,05:33,2,22,0,0,100, 5:17,,MD,1.0,,11-0761,Middle School,196.00,21,0,1,96, 5:33,
34,34,,0.00,0.00,196.0,Middle School,34.0,05:47,2,22,0,0,100, 5:47,,VA,4.0,,11-3493,Middle School,196.00,21,0,1,96, 5:46,
35,35,,0.00,0.00,196.0,Middle School,35.0,05:51,2,22,0,0,100, 5:50,,AL,1.0,,11-1415,Middle School,196.00,21,0,1,96, 5:51,
36,36,,0.00,0.00,196.0,Middle School,36.0,05:58,2,21,0,1,96, 5:57,,KS,2.0,,11-4199,Middle School,196.00,22,0,0,100, 5:30,
37,37,,0.00,0.00,196.0,Middle School,37.0,05:50,2,21,0,1,96, 5:49,,TX,4.0,,11-3357,Middle School,196.00,22,0,0,100, 5:36,
38,38,,0.00,0.00,196.0,Middle School,38.0,05:54,2,21,0,1,96, 5:53,,TX,5.0,,11-0857,Middle School,196.00,22,0,0,100, 3:51,
39,39,T,0.00,0.00,196.0,Middle School,39.0,06:01,2,22,0,0,100, 5:55,,AL,2.0,,11-1416,Middle School,196.00,21,0,1,96, 6:01,T
40,40,,0.00,0.00,196.0,Middle School,40.0,05:56,2,22,0,0,100, 5:52,,TX,6.0,,11-0858,Middle School,196.00,21,0,1,96, 5:56,
41,41,,0.00,0.00,195.0,Middle School,41.0,03:57,2,22,0,0,100, 1:12,,OH,1.0,,11-1858,Middle School,195.00,21,0,1,95, 3:57,
42,42,,0.00,0.00,195.0,Middle School,42.0,05:34,2,21,0,1,95, 5:31,,CA,15.0,,11-4155,Middle School,195.00,22,0,0,100, 5:34,
43,43,,0.00,0.00,195.0,Middle School,43.0,05:34,2,21,0,1,95, 5:32,,VA,5.0,,11-4652,Middle School,195.00,22,0,0,100, 2:18,
44,44,,0.00,0.00,193.0,Middle School,44.0,03:49,2,20,0,2,93, 3:30,,NM,1.0,,11-3447,Middle School,193.00,22,0,0,100, 3:48,
45,45,,0.00,0.00,192.0,Middle School,45.0,05:37,2,21,0,1,96, 5:36,,AL,3.0,,11-0621,Middle School,192.00,21,0,1,96, 5:36,
46,46,,0.00,0.00,192.0,Middle School,46.0,05:33,2,21,0,1,96, 5:31,,TX,7.0,,11-0058,Middle School,192.00,21,0,1,96, 5:33,
47,47,,0.00,0.00,192.0,Middle School,47.0,05:33,2,21,0,1,96, 5:31,,MO,2.0,,11-0373,Middle School,192.00,21,0,1,96, 5:33,
48,48,T,0.00,0.00,192.0,Middle School,48.0,06:01,2,21,0,1,96, 5:59,,CA,16.0,,11-4573,Middle School,192.00,21,0,1,96, 6:01,T
49,49,,0.00,0.00,192.0,Middle School,49.0,05:57,2,21,0,1,96, 5:55,,CA,17.0,,11-4566,Middle School,192.00,21,0,1,96, 5:57,
50,50,,0.00,0.00,192.0,Middle School,50.0,05:38,2,21,0,1,96, 5:37,,HI,1.0,,11-4654,Middle School,192.00,21,0,1,96, 5:31,
51,51,,0.00,0.00,192.0,Middle School,51.0,05:56,2,21,0,1,96, 5:44,,CA,18.0,,11-2978,Middle School,192.00,21,0,1,96, 5:56,
52,52,,0.00,0.00,192.0,Middle School,52.0,05:59,2,21,0,1,96, 5:50,,MO,3.0,,11-0372,Middle School,192.00,21,0,1,96, 5:59,
53,53,T,0.00,0.00,192.0,Middle School,53.0,21:32,2,20,0,2,92, 5:57,,CA,19.0,,11-4519,Middle School,192.00,22,0,0,100,20:52,T
54,54,,0.00,0.00,191.0,Middle School,54.0,04:27,2,21,0,1,96, 3:31,,OH,2.0,,11-1859,Middle School,191.00,21,0,1,95, 4:27,
55,55,,0.00,0.00,191.0,Middle School,55.0,05:38,2,21,0,1,95, 5:38,,ID,1.0,,11-0633,Middle School,191.00,21,0,1,96, 5:32,
56,56,,0.00,0.00,191.0,Middle School,56.0,05:40,2,20,0,2,91, 5:37,,TX,8.0,,11-0860,Middle School,191.00,22,0,0,100, 4:45,
57,57,,0.00,0.00,191.0,Middle School,57.0,05:50,2,21,0,1,95, 5:50,,CA,20.0,,11-2737,Middle School,191.00,21,0,1,96, 5:43,
58,58,,0.00,0.00,191.0,Middle School,58.0,05:52,2,20,0,2,91, 5:51,,FL,2.0,,11-0600,Middle School,191.00,22,0,0,100, 5:14,
