,,*Warn,Adjust,CiscoScore,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,State,StatePlace,TeamName,TeamNumber,Tier,TotalScore,Ubuntu14_cpxi_r2_ms-Found,Ubuntu14_cpxi_r2_ms-Penalties,Ubuntu14_cpxi_r2_ms-Remaining,Ubuntu14_cpxi_r2_ms-Score,Ubuntu14_cpxi_r2_ms-Time,Ubuntu14_cpxi_r2_ms-Warn,Windows10_cpxi_r2_hsms-Found,Windows10_cpxi_r2_hsms-Penalties,Windows10_cpxi_r2_hsms-Remaining,Windows10_cpxi_r2_hsms-Score,Windows10_cpxi_r2_hsms-Time,Windows10_cpxi_r2_hsms-Warn,Windows8_1_cpxi_r2_hsms-Found,Windows8_1_cpxi_r2_hsms-Penalties,Windows8_1_cpxi_r2_hsms-Remaining,Windows8_1_cpxi_r2_hsms-Score,Windows8_1_cpxi_r2_hsms-Time,Windows8_1_cpxi_r2_hsms-Warn
1,1,,0.00,0.00,300.0,Middle School,1.0,05:37,3,CA,1.0,,11-0082,Middle School,300.00,20,0,0,100, 0:44,,30,0,0,100, 5:36,,26,0,0,100, 2:15,
2,2,,0.00,0.00,296.0,Middle School,2.0,05:25,3,CA,2.0,,11-0087,Middle School,296.00,20,0,0,100, 4:10,,29,0,1,96, 5:25,,26,0,0,100, 2:55,
3,3,,0.00,0.00,296.0,Middle School,3.0,05:53,3,CA,3.0,,11-0089,Middle School,296.00,20,0,0,100, 5:18,,29,0,1,96, 5:53,,26,0,0,100, 2:47,
4,4,,0.00,0.00,296.0,Middle School,4.0,05:54,3,NV,1.0,,11-2228,Middle School,296.00,20,0,0,100, 1:16,,29,0,1,96, 5:53,,26,0,0,100, 4:00,
5,5,,0.00,0.00,293.0,Middle School,5.0,05:37,3,CA,4.0,,11-4948,Middle School,293.00,20,0,0,100, 2:43,,28,0,2,93, 5:37,,26,0,0,100, 3:56,
6,6,,0.00,0.00,293.0,Middle School,6.0,06:00,3,CA,5.0,,11-0980,Middle School,293.00,20,0,0,100, 1:10,,28,0,2,93, 5:57,,26,0,0,100, 2:40,
7,7,,0.00,0.00,293.0,Middle School,7.0,05:46,3,CA,6.0,,11-0083,Middle School,293.00,19,0,1,96, 5:46,,29,0,1,97, 5:46,,26,0,0,100, 1:41,
8,8,,0.00,0.00,293.0,Middle School,8.0,05:56,3,CA,7.0,,11-1680,Middle School,293.00,20,0,0,100, 2:19,,28,0,2,93, 5:56,,26,0,0,100, 1:55,
9,9,,0.00,0.00,289.0,Middle School,9.0,05:56,3,IL,1.0,,11-0005,Middle School,289.00,20,0,0,100, 2:01,,28,0,2,93, 5:51,,25,0,1,96, 5:55,
10,10,,0.00,0.00,289.0,Middle School,10.0,05:57,3,CA,8.0,,11-4521,Middle School,289.00,20,0,0,100, 4:30,,28,0,2,93, 5:57,,25,0,1,96, 5:56,
11,11,,0.00,0.00,288.0,Middle School,11.0,05:31,3,NM,1.0,,11-3447,Middle School,288.00,19,0,1,96, 4:43,,28,0,2,92, 5:31,,26,0,0,100, 4:49,
12,12,,0.00,0.00,287.0,Middle School,12.0,05:46,3,GA,1.0,GBMS,11-2598,Middle School,287.00,20,0,0,100, 2:04,,27,0,3,91, 5:45,,25,0,1,96, 5:08,
13,13,,0.00,0.00,285.0,Middle School,13.0,05:48,3,CA,9.0,,11-1748,Middle School,285.00,20,0,0,100, 3:38,,28,0,2,93, 5:48,,24,0,2,92, 5:46,
14,14,,0.00,0.00,285.0,Middle School,14.0,06:00,3,DE,1.0,,11-5748,Middle School,285.00,19,0,1,96, 4:33,,28,0,2,93, 5:58,,25,0,1,96, 5:55,
15,15,,0.00,0.00,284.0,Middle School,15.0,05:28,3,VA,1.0,,11-4652,Middle School,284.00,18,0,2,92, 4:53,,29,0,1,96, 5:27,,25,0,1,96, 5:14,
16,16,,0.00,0.00,282.0,Middle School,16.0,05:40,3,KS,1.0,,11-5869,Middle School,282.00,19,0,1,96, 4:06,,27,0,3,90, 5:39,,25,0,1,96, 5:40,
17,17,,0.00,0.00,281.0,Middle School,17.0,05:33,3,CA,10.0,,11-0088,Middle School,281.00,20,0,0,100, 1:23,,27,0,3,89, 5:21,,24,0,2,92, 5:32,
18,18,,0.00,0.00,281.0,Middle School,18.0,05:45,3,MD,1.0,,11-5332,Middle School,281.00,20,0,0,100, 4:41,,27,0,3,89, 5:37,,24,0,2,92, 5:44,
19,19,,0.00,0.00,280.0,Middle School,19.0,05:35,3,CA,11.0,,11-0092,Middle School,280.00,19,0,1,96, 5:34,,28,0,2,92, 5:35,,25,0,1,92, 5:34,
20,20,,0.00,0.00,278.0,Middle School,20.0,05:38,3,KS,2.0,,11-4199,Middle School,278.00,20,0,0,100, 0:55,,24,0,6,78, 5:38,,26,0,0,100, 2:37,
21,21,,0.00,0.00,278.0,Middle School,21.0,05:58,3,CA,12.0,,11-0045,Middle School,278.00,19,0,1,96, 4:39,,26,0,4,86, 5:57,,25,0,1,96, 5:19,
22,22,,0.00,0.00,278.0,Middle School,22.0,05:57,3,CA,13.0,,11-2186,Middle School,278.00,20,0,0,100, 2:45,,25,0,5,82, 5:53,,25,0,1,96, 5:47,
23,23,,0.00,0.00,277.0,Middle School,23.0,05:22,3,CA,14.0,,11-4005,Middle School,277.00,18,0,2,92, 2:37,,25,0,5,85, 4:54,,26,0,0,100, 3:41,
24,24,,0.00,0.00,272.0,Middle School,24.0,06:00,3,GA,2.0,GBMS,11-0810,Middle School,272.00,20,0,0,100, 3:30,,24,0,6,80, 5:59,,24,0,2,92, 5:15,
25,25,,0.00,0.00,272.0,Middle School,25.0,06:00,3,GA,3.0,GBMS,11-2518,Middle School,272.00,20,0,0,100, 3:23,,23,0,7,76, 5:59,,25,0,1,96, 5:28,
26,26,,0.00,0.00,271.0,Middle School,26.0,05:46,3,CA,15.0,,11-1837,Middle School,271.00,19,0,1,96, 5:40,,23,0,7,75, 5:45,,26,0,0,100, 5:10,
27,27,,0.00,0.00,271.0,Middle School,27.0,05:39,3,TX,1.0,,11-3360,Middle School,271.00,19,0,1,96, 5:30,,24,0,6,79, 5:32,,25,0,1,96, 5:39,
28,28,,0.00,0.00,270.0,Middle School,28.0,05:57,3,CA,16.0,,11-6124,Middle School,270.00,20,0,0,100, 5:19,,24,0,6,78, 5:57,,24,0,2,92, 5:54,
29,29,,0.00,0.00,270.0,Middle School,29.0,05:36,3,CA,17.0,,11-5273,Middle School,270.00,20,0,0,100, 5:36,,26,0,4,86, 5:35,,22,0,4,84, 5:34,
30,30,,0.00,0.00,270.0,Middle School,30.0,05:58,3,VA,2.0,,11-1741,Middle School,270.00,18,0,2,92, 4:00,,27,0,3,90, 5:58,,23,0,3,88, 5:53,
31,31,,0.00,0.00,269.0,Middle School,31.0,05:24,3,CA,18.0,,11-4155,Middle School,269.00,19,0,1,95, 5:22,,27,0,3,90, 5:17,,22,0,4,84, 5:21,
32,32,,0.00,0.00,269.0,Middle School,32.0,05:56,3,VA,3.0,,11-0071,Middle School,269.00,19,0,1,96, 5:49,,28,0,2,93, 5:55,,22,0,4,80, 5:44,
33,33,,0.00,0.00,268.0,Middle School,33.0,05:43,3,TX,2.0,,11-0858,Middle School,268.00,19,0,1,96, 5:43,,24,0,6,80, 5:42,,24,0,2,92, 5:43,
34,34,,0.00,0.00,268.0,Middle School,34.0,05:50,3,CA,19.0,,11-4374,Middle School,268.00,19,0,1,96, 5:46,,23,0,7,76, 5:46,,25,0,1,96, 5:50,
35,35,,0.00,0.00,268.0,Middle School,35.0,05:51,3,AL,1.0,,11-1415,Middle School,268.00,20,0,0,100, 3:10,,23,0,7,76, 5:44,,24,0,2,92, 5:42,
