,,*Warn,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2016_cpxii_r2_hsms-Found,Server2016_cpxii_r2_hsms-Penalties,Server2016_cpxii_r2_hsms-Remaining,Server2016_cpxii_r2_hsms-Score,Server2016_cpxii_r2_hsms-Time,Server2016_cpxii_r2_hsms-Warn,State,StatePlace,TeamName,TeamNumber,Tier,Ubuntu14_cpxii_r2_ms-Found,Ubuntu14_cpxii_r2_ms-Penalties,Ubuntu14_cpxii_r2_ms-Remaining,Ubuntu14_cpxii_r2_ms-Score,Ubuntu14_cpxii_r2_ms-Time,Ubuntu14_cpxii_r2_ms-Warn,Windows10_cpxii_r2_hsms-Found,Windows10_cpxii_r2_hsms-Penalties,Windows10_cpxii_r2_hsms-Remaining,Windows10_cpxii_r2_hsms-Score,Windows10_cpxii_r2_hsms-Time,Windows10_cpxii_r2_hsms-Warn
813,813,MA,2,Middle School,813,03:14,1,,,,,,,CAN,36,,12-7430,Middle School,,,,,,,1,0,27,2, 3:14,M
818,818,MA,-9,Middle School,818,03:43,1,,,,,,,CAN,38,,12-6243,Middle School,,,,,,,3,3,25,-9, 3:43,M
817,817,A,-2,Middle School,817,03:40,1,,,,,,,CAN,37,,12-7429,Middle School,,,,,,,4,2,24,-2, 3:40,
671,671,A,78,Middle School,671,01:43,2,12,1,13,35, 0:31,,CAN,18,,12-6215,Middle School,,,,,,,15,1,13,43, 1:09,
1,1,,300,Middle School,1,02:14,3,25,0,0,100, 1:19,,CA,1,,12-1657,Middle School,22,0,0,100, 1:44,,28,0,0,100, 2:14,
2,2,,300,Middle School,2,02:37,3,25,0,0,100, 1:01,,CA,2,,12-1929,Middle School,22,0,0,100, 1:49,,28,0,0,100, 2:37,
3,3,,300,Middle School,3,04:21,3,25,0,0,100, 1:59,,CA,3,,12-1928,Middle School,22,0,0,100, 0:52,,28,0,0,100, 4:21,
4,4,,295,Middle School,4,05:05,3,25,0,0,100, 1:48,,CA,4,,12-2481,Middle School,21,0,1,95, 5:05,,28,0,0,100, 1:54,
5,5,,295,Middle School,5,05:54,3,24,0,1,95, 5:53,,MO,1,,12-0619,Middle School,22,0,0,100, 4:28,,28,0,0,100, 4:27,
6,6,,293,Middle School,6,05:58,3,24,0,1,97, 5:58,,AL,1,,12-0910,Middle School,21,0,1,96, 5:57,,28,0,0,100, 5:24,
7,7,,292,Middle School,7,05:54,3,24,0,1,95, 5:54,,GA,1,GBMS,12-3239,Middle School,22,0,0,100, 2:34,,27,0,1,97, 5:53,
8,8,,289,Middle School,8,04:20,3,22,0,3,89, 4:13,,NV,1,,12-1781,Middle School,22,0,0,100, 2:25,,28,0,0,100, 4:19,
9,9,,289,Middle School,9,05:53,3,22,0,3,89, 5:53,,CA,5,,12-0144,Middle School,22,0,0,100, 4:59,,28,0,0,100, 2:02,
10,10,,285,Middle School,10,05:44,3,24,0,1,95, 5:44,,CA,6,,12-1930,Middle School,22,0,0,100, 2:54,,26,0,2,90, 5:44,
11,11,,285,Middle School,11,05:57,3,21,0,4,85, 5:57,,CA,7,,12-2805,Middle School,22,0,0,100, 3:02,,28,0,0,100, 5:02,
12,12,,285,Middle School,12,05:41,3,23,0,2,93, 5:41,,CA,8,,12-2618,Middle School,20,0,2,92, 5:21,,28,0,0,100, 5:33,
13,13,,284,Middle School,13,05:53,3,22,0,3,89, 5:53,,CA,9,,12-3996,Middle School,22,0,0,100, 2:27,,27,0,1,95, 5:50,
14,14,,282,Middle School,14,05:51,3,23,0,2,94, 5:51,,CA,10,,12-1658,Middle School,19,0,3,88, 4:44,,28,0,0,100, 4:49,
15,15,,278,Middle School,15,05:39,3,21,0,4,82, 2:39,,NJ,1,,12-1031,Middle School,21,0,1,96, 2:47,,28,0,0,100, 3:31,
16,16,,278,Middle School,16,05:56,3,19,0,6,78, 5:56,,CA,11,,12-0740,Middle School,22,0,0,100, 2:46,,28,0,0,100, 2:57,
17,17,,278,Middle School,17,05:59,3,20,0,5,82, 5:57,,CA,12,,12-0351,Middle School,21,0,1,96, 5:56,,28,0,0,100, 3:43,
18,18,,277,Middle School,18,05:37,3,21,0,4,86, 5:33,,CA,13,,12-1118,Middle School,21,0,1,96, 4:07,,27,0,1,95, 5:35,
19,19,,277,Middle School,19,06:00,3,23,0,2,92, 5:54,,CA,14,,12-3341,Middle School,20,0,2,92, 4:08,,26,0,2,93, 5:59,
20,20,T,277,Middle School,20,06:01,3,23,0,2,92, 6:01,T,CA,15,,12-3338,Middle School,20,0,2,92, 4:04,,26,0,2,93, 5:59,
