,,**,Adjust,CiscoScore,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2016_cpxii_sf_gsms-**,Server2016_cpxii_sf_gsms-Found,Server2016_cpxii_sf_gsms-Penalties,Server2016_cpxii_sf_gsms-Remaining,Server2016_cpxii_sf_gsms-Score,Server2016_cpxii_sf_gsms-Time,State,StatePlace,TeamName,TeamNumber,Tier,TotalScore,Ubuntu16_cpxii_sf_psms-**,Ubuntu16_cpxii_sf_psms-Found,Ubuntu16_cpxii_sf_psms-Penalties,Ubuntu16_cpxii_sf_psms-Remaining,Ubuntu16_cpxii_sf_psms-Score,Ubuntu16_cpxii_sf_psms-Time,Win10_cpxii_sf_gsms-**,Win10_cpxii_sf_gsms-Found,Win10_cpxii_sf_gsms-Penalties,Win10_cpxii_sf_gsms-Remaining,Win10_cpxii_sf_gsms-Score,Win10_cpxii_sf_gsms-Time
1,1,,0.00,29.80,281.0,Middle School,1.0,05:19:00,3,,26,0,4,85, 5:18,CA,1.0,,12-1657,Middle School,310.80,,34,0,2,96, 3:06,,36,0,0,100, 1:37
2,2,,0.00,29.80,270.0,Middle School,2.0,05:54:01,3,,27,0,3,90, 5:36,CA,2.0,,12-1928,Middle School,299.80,,30,1,6,80, 5:53,,36,0,0,100, 2:39
3,3,,0.00,26.03,269.0,Middle School,3.0,05:53:57,3,,26,0,4,87, 5:53,CA,3.0,,12-1930,Middle School,295.03,,32,0,4,92, 5:45,,34,0,2,90, 5:51
4,4,,0.00,29.80,262.0,Middle School,4.0,05:51:57,3,,24,0,6,78, 5:16,CA,4.0,,12-1929,Middle School,291.80,,33,0,3,91, 5:40,,33,0,3,93, 5:50
5,5,,0.00,25.18,212.0,Middle School,5.0,05:47:56,3,,23,0,7,78, 5:47,CA,5.0,,12-2481,Middle School,237.18,,26,1,10,64, 5:45,,27,0,9,70, 5:47
6,6,,0.00,29.80,201.0,Middle School,6.0,05:58:02,3,,19,0,11,60, 5:50,CA,6.0,,12-2805,Middle School,230.80,,29,0,7,79, 5:58,,23,0,13,62, 5:48
7,7,,0.00,19.90,193.0,Middle School,7.0,05:54:06,3,,16,0,14,52, 5:17,CA,7.0,,12-0144,Middle School,212.90,,26,0,10,75, 5:53,,25,0,11,66, 5:52
8,8,,0.00,26.41,184.0,Middle School,8.0,05:49:57,3,,14,0,16,44, 5:49,CA,8.0,,12-1933,Middle School,210.41,,27,0,9,77, 5:47,,26,0,10,63, 5:48
9,9,,0.00,7.00,192.0,Middle School,9.0,05:49:57,3,,24,1,6,73, 5:49,CA,9.0,,12-6767,Middle School,199.00,,18,0,18,45, 5:47,,30,0,6,74, 5:44
10,10,,0.00,22.24,174.0,Middle School,10.0,05:53:57,3,,21,0,9,64, 5:44,CA,10.0,,12-3341,Middle School,196.24,,15,0,21,45, 5:10,,25,0,11,65, 5:53
