,Time,Server2016_cpxii_sf_gsms,Ubuntu16_cpxii_sf_psms,Win10_cpxii_sf_gsms,Team
0,1900-01-25 22:35:00,0,0,0,12-1657
1,1900-01-25 22:40:00,0,16,19,12-1657
2,1900-01-25 22:45:00,8,28,19,12-1657
3,1900-01-25 22:50:00,16,28,27,12-1657
4,1900-01-25 22:55:00,16,29,27,12-1657
5,1900-01-25 23:00:00,20,36,27,12-1657
6,1900-01-25 23:05:00,28,43,30,12-1657
7,1900-01-25 23:10:00,30,52,33,12-1657
8,1900-01-25 23:15:00,36,67,42,12-1657
9,1900-01-25 23:20:00,36,76,42,12-1657
10,1900-01-25 23:25:00,36,81,44,12-1657
11,1900-01-25 23:30:00,40,76,49,12-1657
12,1900-01-25 23:35:00,44,80,68,12-1657
13,1900-01-25 23:40:00,44,80,75,12-1657
14,1900-01-25 23:45:00,46,80,83,12-1657
15,1900-01-25 23:50:00,53,82,85,12-1657
16,1900-01-25 23:55:00,53,77,89,12-1657
17,1900-01-26 00:00:00,56,82,92,12-1657
18,1900-01-26 00:05:00,56,82,92,12-1657
19,1900-01-26 00:10:00,56,null,100,12-1657
20,1900-01-26 00:15:00,59,null,100,12-1657
21,1900-01-26 00:20:00,59,null,null,12-1657
22,1900-01-26 00:30:00,0,null,null,12-1657
23,1900-01-26 00:35:00,5,16,null,12-1657
24,1900-01-26 00:40:00,7,28,null,12-1657
25,1900-01-26 00:45:00,12,28,null,12-1657
26,1900-01-26 00:50:00,17,28,null,12-1657
27,1900-01-26 00:55:00,33,28,null,12-1657
28,1900-01-26 01:00:00,33,26,null,12-1657
29,1900-01-26 01:05:00,36,51,null,12-1657
30,1900-01-26 01:10:00,36,55,null,12-1657
31,1900-01-26 01:15:00,38,50,null,12-1657
32,1900-01-26 01:20:00,40,63,null,12-1657
33,1900-01-26 01:25:00,46,81,null,12-1657
34,1900-01-26 01:30:00,48,96,null,12-1657
35,1900-01-26 01:35:00,56,96,null,12-1657
36,1900-01-26 01:40:00,56,96,null,12-1657
37,1900-01-26 01:45:00,62,null,null,12-1657
38,1900-01-26 01:50:00,66,null,null,12-1657
39,1900-01-26 01:55:00,66,null,null,12-1657
40,1900-01-26 02:00:00,66,null,null,12-1657
41,1900-01-26 02:05:00,73,null,null,12-1657
42,1900-01-26 02:10:00,73,null,null,12-1657
43,1900-01-26 02:15:00,82,null,null,12-1657
44,1900-01-26 02:20:00,85,null,null,12-1657
45,1900-01-26 02:25:00,85,null,null,12-1657
46,1900-01-26 02:30:00,85,null,null,12-1657
47,1900-01-26 02:35:00,85,null,null,12-1657
48,1900-01-26 02:40:00,85,null,null,12-1657
49,1900-01-26 02:45:00,85,null,null,12-1657
50,1900-01-26 02:50:00,85,null,null,12-1657
51,1900-01-26 02:55:00,85,null,null,12-1657
52,1900-01-26 03:00:00,85,null,null,12-1657
53,1900-01-26 03:05:00,85,null,null,12-1657
54,1900-01-26 03:10:00,85,null,null,12-1657
55,1900-01-26 03:15:00,85,null,null,12-1657
56,1900-01-26 03:20:00,85,null,null,12-1657
57,1900-01-26 03:25:00,85,null,null,12-1657
58,1900-01-26 03:45:00,85,null,null,12-1657
59,1900-01-26 03:50:00,85,null,null,12-1657
60,1900-01-26 03:55:00,85,null,null,12-1657
0,1900-01-25 16:00:00,null,0,0,12-1928
1,1900-01-25 16:05:00,16,8,11,12-1928
2,1900-01-25 16:10:00,17,8,23,12-1928
3,1900-01-25 16:15:00,33,8,31,12-1928
4,1900-01-25 16:20:00,38,8,31,12-1928
5,1900-01-25 16:25:00,34,16,26,12-1928
6,1900-01-25 16:30:00,49,28,null,12-1928
7,1900-01-25 16:35:00,50,35,27,12-1928
8,1900-01-25 16:40:00,52,37,27,12-1928
9,1900-01-25 16:45:00,63,39,36,12-1928
10,1900-01-25 16:50:00,63,53,39,12-1928
11,1900-01-25 16:55:00,68,53,42,12-1928
12,1900-01-25 17:00:00,58,53,44,12-1928
13,1900-01-25 17:05:00,61,50,42,12-1928
14,1900-01-25 17:10:00,61,0,42,12-1928
15,1900-01-25 17:15:00,61,14,55,12-1928
16,1900-01-25 17:20:00,54,20,67,12-1928
17,1900-01-25 17:25:00,67,33,67,12-1928
18,1900-01-25 17:30:00,72,43,67,12-1928
19,1900-01-25 17:35:00,72,43,70,12-1928
20,1900-01-25 17:40:00,72,39,78,12-1928
21,1900-01-25 17:45:00,62,null,78,12-1928
22,1900-01-25 17:50:00,72,null,80,12-1928
23,1900-01-25 17:55:00,77,0,80,12-1928
24,1900-01-25 18:00:00,77,16,91,12-1928
25,1900-01-25 18:05:00,85,24,91,12-1928
26,1900-01-25 18:10:00,85,53,91,12-1928
27,1900-01-25 18:15:00,85,57,91,12-1928
28,1900-01-25 18:20:00,90,60,91,12-1928
29,1900-01-25 18:25:00,90,64,91,12-1928
30,1900-01-25 18:30:00,90,null,96,12-1928
31,1900-01-25 18:35:00,90,null,96,12-1928
32,1900-01-25 18:40:00,90,null,100,12-1928
33,1900-01-25 18:45:00,90,8,null,12-1928
34,1900-01-25 18:50:00,90,16,null,12-1928
35,1900-01-25 18:55:00,90,16,null,12-1928
36,1900-01-25 19:00:00,90,28,null,12-1928
37,1900-01-25 19:05:00,90,30,null,12-1928
38,1900-01-25 19:10:00,90,41,null,12-1928
39,1900-01-25 19:15:00,90,51,null,12-1928
40,1900-01-25 19:20:00,90,62,null,12-1928
41,1900-01-25 19:25:00,90,64,null,12-1928
42,1900-01-25 19:30:00,90,72,null,12-1928
43,1900-01-25 19:35:00,90,72,null,12-1928
44,1900-01-25 19:40:00,85,72,null,12-1928
45,1900-01-25 19:45:00,90,null,null,12-1928
46,1900-01-25 19:50:00,90,null,null,12-1928
47,1900-01-25 19:55:00,90,null,null,12-1928
48,1900-01-25 20:00:00,90,null,null,12-1928
49,1900-01-25 20:05:00,90,0,null,12-1928
50,1900-01-25 20:10:00,90,28,null,12-1928
51,1900-01-25 20:15:00,90,34,null,12-1928
52,1900-01-25 20:20:00,90,24,null,12-1928
53,1900-01-25 20:25:00,90,42,null,12-1928
54,1900-01-25 20:30:00,90,61,null,12-1928
55,1900-01-25 20:35:00,90,63,null,12-1928
56,1900-01-25 20:40:00,90,68,null,12-1928
57,1900-01-25 20:45:00,90,83,null,12-1928
58,1900-01-25 20:50:00,90,80,null,12-1928
59,1900-01-25 20:55:00,90,null,null,12-1928
60,1900-01-25 21:00:00,90,null,null,12-1928
61,1900-01-25 21:05:00,90,null,null,12-1928
62,1900-01-25 21:10:00,90,40,null,12-1928
63,1900-01-25 21:15:00,90,60,null,12-1928
64,1900-01-25 21:20:00,90,69,null,12-1928
65,1900-01-25 21:25:00,90,72,null,12-1928
66,1900-01-25 21:30:00,90,72,null,12-1928
67,1900-01-25 21:35:00,90,74,null,12-1928
68,1900-01-25 21:40:00,90,74,null,12-1928
69,1900-01-25 21:45:00,null,80,null,12-1928
70,1900-01-25 21:50:00,null,80,null,12-1928
71,1900-01-25 21:55:00,null,80,null,12-1928
0,1900-01-25 15:50:00,0,0,0,12-1930
1,1900-01-25 15:55:00,8,8,8,12-1930
