Column1,Time,Server2016_cpxii_sf_gsms,Ubuntu16_cpxii_sf_psms,Win10_cpxii_sf_gsms,Team
84,25 01 1900 02:05,0,0,24,12-1735
83,25 01 1900 02:00,0,0,24,12-1735
82,25 01 1900 01:55,0,0,24,12-1735
81,25 01 1900 01:50,0,0,24,12-1735
80,25 01 1900 01:45,0,0,24,12-1735
79,25 01 1900 01:40,0,0,24,12-1735
78,25 01 1900 01:35,0,0,24,12-1735
77,25 01 1900 01:30,0,0,24,12-1735
76,25 01 1900 01:25,0,0,24,12-1735
75,25 01 1900 01:20,0,0,24,12-1735
74,25 01 1900 01:15,0,0,24,12-1735
74,25 01 1900 04:05,0,0,7,12-5320
73,25 01 1900 19:15,32,0,0,12-7464
73,25 01 1900 22:20,34,0,0,12-0832
73,25 01 1900 01:10,0,0,24,12-1735
73,25 01 1900 04:00,0,0,7,12-5320
72,25 01 1900 23:00,61,64,39,12-0740
72,26 01 1900 00:10,0,75,0,12-1164
72,25 01 1900 22:20,43,0,67,12-4611
72,25 01 1900 21:15,24,0,0,12-1031
72,26 01 1900 04:35,45,0,45,12-1658
72,25 01 1900 23:25,0,49,38,12-6449
72,25 01 1900 19:10,32,0,0,12-7464
72,25 01 1900 03:15,0,25,0,12-0619
72,25 01 1900 22:05,0,0,12,12-2741
72,25 01 1900 23:20,39,43,35,12-3433
72,26 01 1900 04:30,38,36,37,12-7259
72,25 01 1900 22:15,34,0,0,12-0832
72,24 01 1900 20:05,0,0,18,12-2808
72,25 01 1900 23:25,29,0,31,12-6443
72,25 01 1900 01:05,0,0,24,12-1735
72,25 01 1900 21:00,23,0,0,12-1622
72,26 01 1900 00:05,35,0,0,12-3628
72,25 01 1900 22:05,0,18,0,12-5705
72,25 01 1900 22:35,29,4,35,12-1415
72,25 01 1900 23:00,26,32,10,12-5096
72,24 01 1900 23:05,0,16,0,12-3342
72,24 01 1900 22:10,8,30,21,12-2859
72,24 01 1900 20:35,0,29,0,12-2316
72,24 01 1900 20:15,0,0,14,12-2809
72,25 01 1900 01:00,7,0,15,12-5099
72,24 01 1900 20:50,0,24,0,12-3992
72,25 01 1900 03:55,0,0,7,12-5320
71,25 01 1900 21:55,0,80,0,12-1928
71,25 01 1900 03:35,0,75,66,12-0144
71,24 01 1900 23:00,0,0,65,12-3341
71,25 01 1900 23:05,46,67,59,12-0285
71,24 01 1900 20:30,42,78,51,12-3239
71,25 01 1900 22:55,61,64,39,12-0740
71,25 01 1900 19:20,59,54,56,12-1205
71,24 01 1900 22:35,0,0,63,12-6503
71,26 01 1900 00:05,40,75,0,12-1164
71,24 01 1900 20:05,46,59,61,12-0155
71,26 01 1900 02:20,45,0,42,12-6037
71,25 01 1900 23:40,48,52,43,12-0351
71,26 01 1900 00:00,0,0,50,12-0191
71,25 01 1900 22:15,43,29,67,12-4611
71,24 01 1900 23:00,42,0,57,12-3338
71,25 01 1900 07:35,52,50,40,12-3203
71,25 01 1900 21:10,24,0,0,12-1031
71,26 01 1900 04:30,45,24,45,12-1658
71,25 01 1900 23:20,44,49,38,12-6449
71,25 01 1900 19:05,32,0,0,12-7464
71,25 01 1900 22:10,43,45,37,12-6482
71,25 01 1900 03:10,45,25,46,12-0619
71,25 01 1900 20:45,36,0,47,12-2935
71,24 01 1900 23:00,0,0,52,12-3340
71,24 01 1900 20:55,34,31,0,12-0873
71,25 01 1900 22:00,36,59,12,12-2741
71,25 01 1900 23:40,36,41,33,12-0353
71,25 01 1900 23:15,39,43,35,12-3433
71,26 01 1900 04:25,38,36,37,12-7259
71,25 01 1900 22:10,31,34,34,12-0832
71,25 01 1900 21:00,21,0,21,12-0055
71,25 01 1900 21:25,37,0,0,12-5050
71,25 01 1900 22:40,0,0,30,12-0033
