,,**,Adjust,CiscoScore,CurrentScore,Division,OverallPlace,PlayTime,ScoredImages,Server2019_cpxiii_r1_hsms-**,Server2019_cpxiii_r1_hsms-Found,Server2019_cpxiii_r1_hsms-Penalties,Server2019_cpxiii_r1_hsms-Remaining,Server2019_cpxiii_r1_hsms-Score,Server2019_cpxiii_r1_hsms-Time,State,StatePlace,TeamName,TeamNumber,Tier,TotalScore,Windows10_cpxiii_r1_hsms-**,Windows10_cpxiii_r1_hsms-Found,Windows10_cpxiii_r1_hsms-Penalties,Windows10_cpxiii_r1_hsms-Remaining,Windows10_cpxiii_r1_hsms-Score,Windows10_cpxiii_r1_hsms-Time
1,1,,0,19.4,200,Middle School,1,02:41:57,2,,21,0,0,100, 1:13,CA,1,,13-1241,Middle School,219.4,,20,0,0,100, 2:41
2,2,,0,19.1,200,Middle School,2,02:07:56,2,,21,0,0,100, 2:07,CA,2,,13-1242,Middle School,219.1,,20,0,0,100, 1:35
3,3,,0,18.4,200,Middle School,3,03:50:56,2,,21,0,0,100, 2:02,CA,3,,13-1246,Middle School,218.4,,20,0,0,100, 3:50
4,4,,0,18.8,197,Middle School,4,05:29:56,2,,20,0,1,97, 5:29,CA,4,,13-1251,Middle School,215.8,,20,0,0,100, 3:35
5,5,,0,16.6,197,Middle School,5,05:18:56,2,,20,0,1,97, 5:18,CA,5,,13-2438,Middle School,213.6,,20,0,0,100, 1:57
6,6,,0,18.4,195,Middle School,6,05:30:57,2,,21,0,0,100, 2:08,CA,6,,13-1247,Middle School,213.4,,19,0,1,95, 5:30
7,7,,0,17.4,196,Middle School,7,05:50:56,2,,20,0,1,96, 5:50,NJ,1,,13-0894,Middle School,213.4,,20,0,0,100, 4:02
8,8,,0,17.6,195,Middle School,8,05:31:55,2,,21,0,0,100, 5:31,CA,7,,13-0920,Middle School,212.6,,19,0,1,95, 5:30
9,9,,0,17.2,195,Middle School,9,05:40:59,2,,21,0,0,100, 4:53,CA,8,,13-0921,Middle School,212.2,,19,0,1,95, 5:38
10,10,,0,12,192,Middle School,10,05:50:58,2,,20,0,1,97, 5:35,CA,9,,13-0242,Middle School,204,,19,0,1,95, 5:50
11,11,,0,11.4,192,Middle School,11,05:44:55,2,,20,0,1,96, 5:44,TX,1,,13-1154,Middle School,203.4,,19,0,1,96, 5:43
12,12,,0,12.2,191,Middle School,12,05:45:56,2,,20,0,1,96, 5:43,TX,2,,13-0906,Middle School,203.2,,19,0,1,95, 5:44
13,13,,0,15.8,187,Middle School,13,05:23:56,2,,19,0,2,92, 5:23,CA,10,,13-1252,Middle School,202.8,,19,0,1,95, 2:47
14,14,,0,18.6,184,Middle School,14,04:06:57,2,,19,0,2,93, 4:03,CA,11,,13-0342,Middle School,202.6,,18,0,2,91, 3:47
15,15,,0,16.4,185,Middle School,15,05:50:57,2,,18,0,3,89, 5:50,TX,3,,13-1452,Middle School,201.4,,19,0,1,96, 5:50
16,16,,0,4.4,196,Middle School,16,05:38:56,2,,20,0,1,96, 5:38,GA,1,,13-0862,Middle School,200.4,,20,0,0,100, 1:22
17,17,,0,0,200,Middle School,17,02:50:56,2,,21,0,0,100, 2:49,GA,2,,13-0663,Middle School,200,,20,0,0,100, 1:26
18,18,,0,0,200,Middle School,18,03:21:56,2,,21,0,0,100, 2:57,GA,3,,13-0665,Middle School,200,,20,0,0,100, 2:44
19,19,,0,4,196,Middle School,19,05:50:56,2,,20,0,1,96, 5:50,GA,4,,13-0864,Middle School,200,,20,0,0,100, 0:54
20,20,,0,18.2,179,Middle School,20,04:20:55,2,,20,0,1,97, 4:20,CA,12,,13-1061,Middle School,197.2,,16,0,4,82, 4:19
21,21,,0,1.8,195,Middle School,21,05:57:56,2,,20,0,1,95, 5:57,TX,4,,13-4111,Middle School,196.8,,20,0,0,100, 5:11
22,22,,0,14.8,182,Middle School,22,05:48:55,2,,18,0,3,82, 5:48,AL,1,,13-0848,Middle School,196.8,,20,0,0,100, 4:19
23,23,,0,0,196,Middle School,23,05:41:56,2,,21,0,0,100, 4:51,MO,1,,13-1386,Middle School,196,,19,0,1,96, 5:41
24,24,,0,0,196,Middle School,24,05:45:56,2,,21,0,0,100, 5:11,MO,2,,13-1387,Middle School,196,,19,0,1,96, 5:39
25,25,,0,15.8,180,Middle School,25,05:43:57,2,,17,0,4,85, 5:43,TX,5,,13-0904,Middle School,195.8,,19,0,1,95, 5:43
26,26,,0,6,189,Middle School,26,05:45:58,2,,19,0,2,93, 5:45,CA,13,,13-0579,Middle School,195,,19,0,1,96, 5:43
27,27,,0,14.8,180,Middle School,27,05:25:56,2,,19,0,2,93, 5:25,GA,5,Error 403: Forbidden,13-1714,Middle School,194.8,,17,0,3,87, 5:24
28,28,,0,7,187,Middle School,28,05:43:57,2,,20,0,1,97, 5:37,OR,1,,13-1009,Middle School,194,,18,0,2,90, 5:43
29,29,,0,5.4,188,Middle School,29,05:59:15,2,,19,0,2,93, 5:59,OK,1,,13-0078,Middle School,193.4,,19,0,1,95, 5:53
30,30,,0,12.3,178,Middle School,30,05:37:56,2,,18,0,3,88, 5:35,TX,6,,13-0905,Middle School,190.3,,18,0,2,90, 5:37
31,31,,0,4.2,185,Middle School,31,05:29:55,2,,20,0,1,90, 5:29,GA,6,GTMS,13-0023,Middle School,189.2,,19,0,1,95, 5:27
32,32,,0,5.4,183,Middle School,32,01:49:56,2,,19,0,2,92, 1:41,MI,1,,13-0504,Middle School,188.4,,18,0,2,91, 1:47
