,Time,Server2019_cpxiii_r1_hsms,Windows10_cpxiii_r1_hsms,Team
0,1900-11-15 20:30:00,10,0,13-1241
1,1900-11-15 20:35:00,18,20,13-1241
2,1900-11-15 20:40:00,54,42,13-1241
3,1900-11-15 20:45:00,69,66,13-1241
4,1900-11-15 20:50:00,87,67,13-1241
5,1900-11-15 20:55:00,87,80,13-1241
6,1900-11-15 21:00:00,87,90,13-1241
7,1900-11-15 21:05:00,87,90,13-1241
8,1900-11-15 21:10:00,87,95,13-1241
9,1900-11-15 21:15:00,90,95,13-1241
10,1900-11-15 21:20:00,90,95,13-1241
11,1900-11-15 21:25:00,90,95,13-1241
12,1900-11-15 21:30:00,90,95,13-1241
13,1900-11-15 21:35:00,90,95,13-1241
14,1900-11-15 21:40:00,100,95,13-1241
15,1900-11-15 21:45:00,null,20,13-1241
16,1900-11-15 21:50:00,null,80,13-1241
17,1900-11-15 21:55:00,null,85,13-1241
18,1900-11-15 22:00:00,null,95,13-1241
19,1900-11-15 22:05:00,null,95,13-1241
20,1900-11-15 22:10:00,null,95,13-1241
21,1900-11-15 22:15:00,null,95,13-1241
22,1900-11-15 22:20:00,null,95,13-1241
23,1900-11-15 22:25:00,null,95,13-1241
24,1900-11-15 22:30:00,null,95,13-1241
25,1900-11-15 22:35:00,null,95,13-1241
26,1900-11-15 22:40:00,null,95,13-1241
27,1900-11-15 22:45:00,null,95,13-1241
28,1900-11-15 22:50:00,null,95,13-1241
29,1900-11-15 22:55:00,null,95,13-1241
30,1900-11-15 23:00:00,null,95,13-1241
31,1900-11-15 23:05:00,null,100,13-1241
32,1900-11-15 23:10:00,null,100,13-1241
0,1900-11-14 19:05:00,0,20,13-1242
1,1900-11-14 19:10:00,0,37,13-1242
2,1900-11-14 19:15:00,28,49,13-1242
3,1900-11-14 19:20:00,59,57,13-1242
4,1900-11-14 19:25:00,59,61,13-1242
5,1900-11-14 19:30:00,59,66,13-1242
6,1900-11-14 19:35:00,72,75,13-1242
7,1900-11-14 19:40:00,72,80,13-1242
8,1900-11-14 19:45:00,72,85,13-1242
9,1900-11-14 19:50:00,72,85,13-1242
10,1900-11-14 19:55:00,79,85,13-1242
11,1900-11-14 20:00:00,79,85,13-1242
12,1900-11-14 20:05:00,83,85,13-1242
13,1900-11-14 20:10:00,86,90,13-1242
14,1900-11-14 20:15:00,86,95,13-1242
15,1900-11-14 20:20:00,86,95,13-1242
16,1900-11-14 20:25:00,86,95,13-1242
17,1900-11-14 20:30:00,86,95,13-1242
18,1900-11-14 20:35:00,86,100,13-1242
19,1900-11-14 20:40:00,86,null,13-1242
20,1900-11-14 20:45:00,86,null,13-1242
21,1900-11-14 20:50:00,86,null,13-1242
22,1900-11-14 20:55:00,90,null,13-1242
23,1900-11-14 21:00:00,90,null,13-1242
24,1900-11-14 21:05:00,90,null,13-1242
25,1900-11-14 21:10:00,100,null,13-1242
0,1900-11-15 20:55:00,0,5,13-1246
1,1900-11-15 21:00:00,19,5,13-1246
2,1900-11-15 21:05:00,31,20,13-1246
3,1900-11-15 21:10:00,46,38,13-1246
4,1900-11-15 21:15:00,50,46,13-1246
5,1900-11-15 21:20:00,78,71,13-1246
6,1900-11-15 21:25:00,83,75,13-1246
7,1900-11-15 21:30:00,83,85,13-1246
8,1900-11-15 21:35:00,83,85,13-1246
9,1900-11-15 21:40:00,87,90,13-1246
10,1900-11-15 21:45:00,97,90,13-1246
11,1900-11-15 21:50:00,97,90,13-1246
12,1900-11-15 21:55:00,97,90,13-1246
13,1900-11-15 22:00:00,97,90,13-1246
14,1900-11-15 22:05:00,97,90,13-1246
15,1900-11-15 22:10:00,97,90,13-1246
16,1900-11-15 22:15:00,97,null,13-1246
17,1900-11-15 22:20:00,97,4,13-1246
18,1900-11-15 22:25:00,97,19,13-1246
19,1900-11-15 22:30:00,97,29,13-1246
20,1900-11-15 22:35:00,97,80,13-1246
21,1900-11-15 22:40:00,97,90,13-1246
22,1900-11-15 22:45:00,97,90,13-1246
23,1900-11-15 22:50:00,97,90,13-1246
24,1900-11-15 22:55:00,97,90,13-1246
25,1900-11-15 23:00:00,100,90,13-1246
26,1900-11-15 23:05:00,null,90,13-1246
27,1900-11-15 23:10:00,null,90,13-1246
28,1900-11-15 23:15:00,null,95,13-1246
29,1900-11-15 23:20:00,null,95,13-1246
30,1900-11-15 23:25:00,null,95,13-1246
31,1900-11-15 23:30:00,null,95,13-1246
32,1900-11-15 23:35:00,null,95,13-1246
33,1900-11-15 23:40:00,null,95,13-1246
34,1900-11-15 23:45:00,null,95,13-1246
35,1900-11-15 23:50:00,null,95,13-1246
36,1900-11-15 23:55:00,null,95,13-1246
37,1900-11-16 00:00:00,null,95,13-1246
38,1900-11-16 00:05:00,null,95,13-1246
39,1900-11-16 00:15:00,null,0,13-1246
40,1900-11-16 00:20:00,null,0,13-1246
41,1900-11-16 00:25:00,null,0,13-1246
42,1900-11-16 00:30:00,null,0,13-1246
43,1900-11-16 00:35:00,null,0,13-1246
44,1900-11-16 00:40:00,null,54,13-1246
45,1900-11-16 00:45:00,null,100,13-1246
0,1900-11-15 21:05:00,0,null,13-1251
1,1900-11-15 21:10:00,0,null,13-1251
